symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,date,time
BTCUSDT,10.00000000,0.052,19246.10981143,19150.71000000,19160.71000000,0.56867600,19160.70000000,0.16463700,19160.71000000,6.28629600,19150.71000000,19570.00000000,19028.97000000,55373.20347200,1065718754.63292189,1607929793582,1608016193582,506680098,507669583,989486,12/15/20,01:09:53
BTCUSDT,13.41000000,0.070,19246.10821490,19150.71000000,19164.12000000,0.00582600,19164.11000000,0.41762000,19164.12000000,3.77774000,19150.71000000,19570.00000000,19028.97000000,55374.27423600,1065739274.26763806,1607929794487,1608016194487,506680099,507669604,989506,12/15/20,01:09:54
BTCUSDT,11.98000000,0.063,19246.11003694,19152.36000000,19164.12000000,0.00315000,19164.11000000,0.30109300,19164.12000000,5.76891000,19152.14000000,19570.00000000,19028.97000000,55373.22165900,1065719117.14904186,1607929795477,1608016195477,506680110,507669606,989497,12/15/20,01:09:55
BTCUSDT,10.43000000,0.054,19246.10861722,19152.14000000,19162.58000000,0.01100000,19162.64000000,7.74129700,19162.65000000,0.00600000,19152.15000000,19570.00000000,19028.97000000,55374.18768000,1065737630.67950666,1607929796507,1608016196507,506680113,507669617,989505,12/15/20,01:09:56
BTCUSDT,10.50000000,0.055,19246.10863716,19152.14000000,19162.65000000,0.00600000,19164.00000000,1.26149000,19164.01000000,2.35063900,19152.15000000,19570.00000000,19028.97000000,55374.17660200,1065737418.57513553,1607929797376,1608016197376,506680115,507669619,989505,12/15/20,01:09:57
BTCUSDT,10.51000000,0.055,19246.10875859,19152.15000000,19162.65000000,0.00600000,19164.00000000,1.01218400,19164.01000000,2.41914200,19152.14000000,19570.00000000,19028.97000000,55374.10503500,1065736047.91326831,1607929798470,1608016198470,506680119,507669619,989501,12/15/20,01:09:58
BTCUSDT,10.51000000,0.055,19246.10879341,19152.14000000,19162.65000000,0.00600000,19164.00000000,0.70369400,19164.01000000,2.58410600,19152.14000000,19570.00000000,19028.97000000,55374.08451900,1065735654.98796407,1607929798910,1608016198910,506680121,507669619,989499,12/15/20,01:09:59
BTCUSDT,14.46000000,0.075,19246.10516785,19152.15000000,19166.61000000,0.01461600,19166.61000000,1.13052400,19166.62000000,7.72505800,19152.15000000,19570.00000000,19028.97000000,55376.53699500,1065782654.83734631,1607929800400,1608016200400,506680124,507669640,989517,12/15/20,01:10:00
BTCUSDT,13.61000000,0.071,19246.10967920,19153.00000000,19166.61000000,0.01418100,19166.61000000,0.69731900,19166.62000000,9.92683900,19153.00000000,19570.00000000,19028.97000000,55373.87458200,1065731663.56767732,1607929801277,1608016201277,506680135,507669651,989517,12/15/20,01:10:01
BTCUSDT,13.62000000,0.071,19246.10880284,19152.99000000,19166.62000000,0.02720900,19166.61000000,1.60539400,19166.62000000,5.53410400,19153.00000000,19570.00000000,19028.97000000,55374.49905800,1065743633.77327689,1607929802439,1608016202439,506680139,507669662,989524,12/15/20,01:10:02
BTCUSDT,13.62000000,0.071,19246.10876956,19153.00000000,19166.62000000,0.00757800,19166.61000000,1.02480700,19166.62000000,4.89891800,19153.00000000,19570.00000000,19028.97000000,55374.52787100,1065744186.46837673,1607929803376,1608016203376,506680146,507669668,989523,12/15/20,01:10:03
BTCUSDT,14.46000000,0.076,19246.11305100,19152.15000000,19166.62000000,0.12797700,19166.61000000,3.74477500,19166.62000000,0.00231800,19152.16000000,19570.00000000,19028.97000000,55372.00318700,1065695833.19750018,1607929804150,1608016204150,506680157,507669673,989517,12/15/20,01:10:04
BTCUSDT,15.84000000,0.083,19246.11471449,19152.15000000,19167.99000000,0.00900800,19167.99000000,1.77809300,19168.00000000,5.63103900,19152.15000000,19570.00000000,19028.97000000,55371.13014600,1065679122.66084708,1607929805601,1608016205601,506680177,507669694,989518,12/15/20,01:10:05
BTCUSDT,15.83000000,0.083,19246.11472803,19152.15000000,19167.99000000,0.01137300,19167.99000000,1.51672000,19168.00000000,5.62917100,19152.16000000,19570.00000000,19028.97000000,55371.12440000,1065679012.82234930,1607929806661,1608016206661,506680187,507669697,989511,12/15/20,01:10:06
BTCUSDT,15.85000000,0.083,19246.11417225,19152.15000000,19168.00000000,0.51000000,19167.99000000,1.51859800,19168.00000000,3.96134400,19152.15000000,19570.00000000,19028.97000000,55371.53821400,1065686946.35973779,1607929807560,1608016207560,506680199,507669700,989502,12/15/20,01:10:07
BTCUSDT,15.85000000,0.083,19246.11388914,19152.15000000,19168.00000000,0.00315000,19167.99000000,1.47581400,19168.00000000,2.16721200,19152.15000000,19570.00000000,19028.97000000,55371.73887700,1065690792.66623325,1607929808642,1608016208642,506680199,507669707,989509,12/15/20,01:10:08
BTCUSDT,15.84000000,0.083,19246.11386827,19152.15000000,19168.00000000,0.01867900,19167.99000000,0.28505600,19168.00000000,2.11368000,19152.16000000,19570.00000000,19028.97000000,55371.75379000,1065691078.52838085,1607929809782,1608016209782,506680200,507669711,989512,12/15/20,01:10:09
BTCUSDT,16.68000000,0.087,19246.11302149,19152.15000000,19168.84000000,0.09696000,19168.84000000,0.81368000,19168.85000000,3.25939500,19152.16000000,19570.00000000,19028.97000000,55372.36075000,1065702713.26136227,1607929810870,1608016210870,506680200,507669729,989530,12/15/20,01:10:10
BTCUSDT,17.07000000,0.089,19246.11313719,19152.15000000,19168.85000000,0.01873500,19168.84000000,0.31011800,19168.85000000,3.50785900,19151.78000000,19570.00000000,19028.97000000,55372.30963700,1065701735.94145229,1607929811757,1608016211757,506680247,507669741,989495,12/15/20,01:10:11
